DOI,published.date-parts,is-referenced-by-count,title
10.21105/joss.01885,2019-12-13,17,SHARPy: A dynamic aeroelastic simulation toolbox for very flexible aircraft and wind turbines
10.21105/joss.01848,2020-03-13,17,"Chaste: Cancer, Heart and Soft Tissue Environment"
10.21105/joss.02305,2020-07-15,17,geemap: A Python package for interactive mapping with Google Earth Engine
10.21105/joss.00613,2018-03-22,17,NiaPy: Python microframework for building nature-inspired algorithms
10.21105/joss.02564,2020-10-24,17,pyOptSparse: A Python framework for large-scale constrained nonlinear optimization of sparse systems
10.21105/joss.01118,2018-12-22,16,Cadabra2: computer algebra for field theory revisited
10.21105/joss.00738,2018-05-31,16,dit: a Python package for discrete information theory
10.21105/joss.00116,2016-11-17,16,RAILS and Cobbler: Scaffolding and automated finishing of draft genomes using long DNA sequences
10.21105/joss.00940,2018-10-23,16,hIPPYlib: An Extensible Software Framework for Large-Scale Inverse Problems
10.21105/joss.00357,2017-09-05,16,schwimmbad: A uniform interface to parallel processing pools in Python
10.21105/joss.02292,2020-08-04,16,PySWMM: The Python Interface to Stormwater Management Model (SWMM)
10.21105/joss.00530,2018-02-12,16,PyDMD: Python Dynamic Mode Decomposition
10.21105/joss.01421,2019-06-14,16,SCONE: Open Source Software for Predictive Simulation of Biological Motion
10.21105/joss.02807,2021-02-21,16,"The Pencil Code, a modular MPI code for partial differential equations and particles: multipurpose and multiuser-maintained"
10.21105/joss.00849,2018-08-28,15,fgivenx: A Python package for functional posterior plotting
10.21105/joss.01360,2019-04-23,15,KADE: A desktop application for Q methodology
10.21105/joss.01601,2019-08-12,15,greta: simple and scalable statistical modelling in R
10.21105/joss.01272,2019-04-17,15,NeuroDSP: A package for neural digital signal processing
10.21105/joss.00054,2016-08-30,15,cartography: Create and Integrate Maps in your R Workflow
10.21105/joss.00431,2017-11-02,15,pyGPGO: Bayesian Optimization for Python
10.21105/joss.00359,2017-08-14,15,iheatmapr: Interactive complex heatmaps in R
10.21105/astro.1811.11584,2019-03-20,14,The effect on cosmological parameter estimation of a parameter dependent covariance matrix
10.21105/joss.00577,2018-03-12,14,TSrepr R package: Time Series Representations
10.21105/joss.02906,2021-01-07,14,Augur: a bioinformatics toolkit for phylogenetic analyses of human pathogens
10.21105/joss.00862,2018-11-26,14,Pymer4: Connecting R and Python for Linear Mixed Modeling
10.21105/joss.01285,2019-05-23,14,"Detecting Fraud in Online Surveys by Tracing, Scoring, and Visualizing IP Addresses"
10.21105/joss.00598,2018-03-14,14,DynamicalSystems.jl: A Julia software library for chaos and nonlinear dynamics
10.21105/joss.00927,2019-01-21,14,CusToM: a Matlab toolbox for musculoskeletal simulation
10.21105/joss.02373,2020-09-25,14,MetalWalls: A classical molecular dynamics software dedicated to the simulation of electrochemical systems
10.21105/joss.00671,2018-10-18,13,BioSigKit: A Matlab Toolbox and Interface for Analysis of BioSignals
10.21105/joss.00538,2018-02-18,13,psrqpy: a python interface for querying the ATNF pulsar catalogue
10.21105/joss.00819,2018-09-04,13,quimb: A python package for quantum information and many-body calculations
10.21105/joss.00091,2017-01-20,13,Mordecai: Full Text Geoparsing and Event Geocoding
10.21105/joss.01315,2019-10-17,13,Kepler Mapper: A flexible Python implementation of the Mapper algorithm.
10.21105/joss.02272,2020-07-16,13,rgee: An R package for interacting with Google Earth Engine
10.21105/joss.00464,2018-01-16,13,chloroExtractor: extraction and assembly of the chloroplast genome from whole genome shotgun data
10.21105/joss.00753,2018-06-29,13,opt\_einsum - A Python package for optimizing contraction order for einsum-like expressions
10.21105/jose.00021,2018-11-12,13,CFD Python: the 12 steps to Navier-Stokes equations
10.21105/astro.1607.07881,2019-07-30,13,Galaxy Quenching from Cosmic Web Detachment
10.21105/joss.00140,2017-02-22,12,pyuvdata: an interface for astronomical interferometeric datasets in python
10.21105/joss.01417,2019-06-06,12,pymcmcstat: A Python Package for Bayesian Inference Using Delayed Rejection Adaptive Metropolis
10.21105/joss.02352,2020-09-02,12,HPX - The C++ Standard Library for Parallelism and Concurrency
10.21105/joss.01830,2020-02-13,12,MatSurv: Survival analysis and visualization in MATLAB
10.21105/joss.00177,2017-02-03,12,GSODR: Global Summary Daily Weather Data in R
10.21105/joss.01244,2019-03-10,11,The SuiteSparse Matrix Collection Website Interface
10.21105/joss.01408,2019-07-01,11,xml2jupyter: Mapping parameters between XML and Jupyter widgets
10.21105/joss.00547,2018-02-27,11,Missingno: a missing data visualization suite
10.21105/joss.00916,2018-09-14,11,"nestcheck: error analysis, diagnostic tests and plots for nested sampling calculations"
10.21105/joss.01831,2019-11-22,11,BioSimSpace: An interoperable Python framework for biomolecular simulation
10.21105/joss.01627,2019-08-05,11,"The UCSCXenaTools R package: a toolkit for accessing genomics data from UCSC Xena platform, from cancer multi-omics to single-cell RNA-seq"
10.21105/joss.02607,2020-09-27,11,"Foolbox Native: Fast adversarial attacks to benchmark the robustness of machine learning models in PyTorch, TensorFlow, and JAX"
10.21105/joss.00659,2018-04-20,11,"CLIMLAB: a Python toolkit for interactive, process-oriented climate modeling"
10.21105/joss.02104,2020-05-18,11,PySINDy: A Python package for the sparse identification of nonlinear dynamical systems from data
10.21105/joss.01807,2019-11-20,11,momepy: Urban Morphology Measuring Toolkit
10.21105/joss.01944,2020-01-07,11,WulffPack: A Python package for Wulff constructions
10.21105/joss.01844,2020-01-14,10,MyQueue: Task and workflow scheduling system
10.21105/joss.01012,2019-06-11,10,imager: an R package for image processing based on CImg
10.21105/joss.01705,2019-12-19,10,"The Walrus: a library for the calculation of hafnians, Hermite polynomials and Gaussian boson sampling"
10.21105/joss.01896,2019-12-18,10,MNE-BIDS: Organizing electrophysiological data into the BIDS format and facilitating their analysis
10.21105/joss.02308,2020-12-16,10,PypeIt: The Python Spectroscopic Data Reduction Pipeline
10.21105/joss.00571,2018-02-11,10,weathercan: Download and format weather data from Environment and Climate Change Canada
10.21105/joss.00282,2017-07-13,10,Kindel: indel-aware consensus for nucleotide sequence alignments
10.21105/joss.00737,2018-07-22,10,Cylc: A Workflow Engine for Cycling Systems
10.21105/joss.00440,2018-01-29,10,Multiphonon: Phonon Density of States tools for Inelastic Neutron Scattering Powder Data
10.21105/joss.01082,2018-11-29,10,ssdtools: An R package to fit Species Sensitivity Distributions
10.21105/joss.00082,2016-10-27,10,Habfuzz: A tool to calculate the instream hydraulic habitat suitability using fuzzy logic and fuzzy Bayesian inference
10.21105/joss.00617,2018-04-30,10,The MCAPL Framework including the Agent Infrastructure Layer an Agent Java Pathfinder
10.21105/joss.01426,2019-06-22,10,sbpy: A Python module for small-body planetary astronomy
10.21105/joss.00957,2018-10-11,10,Verde: Processing and gridding spatial data using Green’s functions
10.21105/joss.00545,2018-06-26,10,Limbo: A Flexible High-performance Library for Gaussian Processes modeling and Data-Efficient Optimization
10.21105/joss.01632,2019-09-10,10,GoFish: Fishing for Line Observations in Protoplanetary Disks
10.21105/joss.02732,2020-10-23,10,pfsspy: A Python package for potential field source surface modelling
10.21105/joss.01257,2019-02-24,10,"AtlasReader: A Python package to generate coordinate tables, region labels, and informative figures from statistical MRI images"
10.21105/joss.01132,2019-01-30,9,GAMA: Genetic Automated Machine learning Assistant
10.21105/joss.02349,2020-08-03,9,impedance.py: A Python package for electrochemical impedance analysis
10.21105/joss.00473,2017-12-07,9,Xbim.Essentials: a library for interoperable building information applications
10.21105/joss.00036,2016-07-13,9,gwdegree: Improving interpretation of geometrically-weighted degree estimates in exponential random graph models
10.21105/joss.00511,2017-12-15,9,tidyhydat: Extract and Tidy Canadian Hydrometric Data
10.21105/joss.02050,2020-02-21,9,SpiceyPy: a Pythonic Wrapper for the SPICE Toolkit
10.21105/joss.00188,2017-04-08,9,MSMExplorer: Data Visualizations for Biomolecular Dynamics
10.21105/joss.01358,2019-05-22,9,The MTPy software package for magnetotelluric data analysis and visualisation
10.21105/joss.00565,2018-04-04,9,ChemPy: A package useful for chemistry written in Python
10.21105/joss.00063,2016-10-11,9,rintrojs: A Wrapper for the Intro.js Library
10.21105/jose.00032,2019-01-06,9,nbgrader: A Tool for Creating and Grading Assignments in the Jupyter Notebook
10.21105/joss.01204,2019-06-11,9,QMRTools: a Mathematica toolbox for quantitative MRI analysis.
10.21105/joss.01683,2019-10-01,9,"qnm: A Python package for calculating Kerr quasinormal modes, separation constants, and spherical-spheroidal mixing coefficients"
10.21105/joss.01124,2019-01-21,9,A MATLAB toolbox to detect and analyze marine heatwaves
10.21105/joss.00166,2017-03-29,9,Effective-Quadratures (EQ): Polynomials for Computational Engineering Studies
10.21105/joss.01987,2020-01-29,9,Hoki: Making BPASS accessible through Python
10.21105/joss.01518,2019-07-05,9,"traffic, a toolbox for processing and analysing air traffic data"
10.21105/jose.00053,2019-09-29,8,Happy Belly Bioinformatics: an open-source resource dedicated to helping biologists utilize bioinformatics
10.21105/joss.00259,2017-11-27,8,"Neuropsydia.py: A Python Module for Creating Experiments, Tasks and Questionnaires"
10.21105/joss.01434,2019-08-23,8,survPen: an R package for hazard and excess hazard modelling with multidimensional penalized splines
10.21105/joss.01294,2019-08-12,8,PyBIDS: Python tools for BIDS datasets
10.21105/joss.01849,2020-01-07,8,3D reconstruction toolbox for behavior tracked with multiple cameras
10.21105/joss.00667,2018-11-06,8,ACTIN: A tool to calculate stellar activity indices
10.21105/joss.00448,2017-12-07,8,FullSWOF: Full Shallow-Water equations for Overland Flow
10.21105/joss.00745,2018-05-26,8,The Vascular Modeling Toolkit: A Python Library for the Analysis of Tubular Structures in Medical Images
10.21105/joss.00905,2018-10-03,8,Python Implementation of Codon Adaptation Index
10.21105/joss.00215,2017-04-24,8,OSMnx: A Python package to work with graph-theoretic OpenStreetMap street networks
10.21105/joss.00501,2018-01-22,8,Category Encoders: a scikit-learn-contrib package of transformers for encoding categorical data
10.21105/joss.00711,2018-08-28,8,chronovise: Measurement-Based Probabilistic Timing Analysis framework
10.21105/joss.01613,2019-10-24,8,MOTES: Modeling of Tensegrity Structures
10.21105/joss.02173,2020-04-14,8,Autorank: A Python package for automated ranking of classifiers
10.21105/joss.02959,2021-01-15,8,The targets R package: a dynamic Make-like function-oriented pipeline toolkit for reproducibility and high-performance computing
10.21105/joss.00348,2017-10-27,8,'Spectrum': Spectral Analysis in Python
10.21105/joss.00863,2018-10-06,8,GrainSizeTools: a Python script for grain size analysis and paleopiezometry based on grain size
10.21105/joss.02651,2020-10-09,8,medrxivr: Accessing and searching medRxiv and bioRxiv preprint data in R
10.21105/joss.00767,2018-07-09,7,salabim: discrete event simulation and animation in Python
10.21105/joss.00224,2017-05-31,7,cbcbeat: an adjoint-enabled framework for computational cardiac electrophysiology
10.21105/jcon.00058,2020-07-27,7,Circuitscape in Julia: High Performance Connectivity Modelling to Support Conservation Decisions
10.21105/joss.01693,2019-12-19,7,kramersmoyal: Kramers--Moyal coefficients for stochastic processes
10.21105/joss.01504,2019-07-18,7,STUMPY: A Powerful and Scalable Python Library for Time Series Data Mining
10.21105/joss.00625,2018-03-14,7,hydroscoper: R interface to the Greek National Data Bank for Hydrological and Meteorological Information
10.21105/joss.01775,2019-10-23,7,Hasasia: A Python package for Pulsar Timing Array Sensitivity Curves
10.21105/joss.01003,2018-11-01,7,FixedPointFinder: A Tensorflow toolbox for identifying and characterizing fixed points in recurrent neural networks
10.21105/joss.02117,2020-07-01,7,Chemiscope: interactive structure-property explorer for materials and molecules
10.21105/joss.01022,2019-01-30,7,easyaccess: Enhanced SQL command line interpreter for astronomical surveys
10.21105/joss.01361,2019-06-10,7,SMACT: Semiconducting Materials by Analogy and Chemical Theory
10.21105/joss.01136,2019-04-11,7,UWGeodynamics: A teaching and research tool for numerical geodynamic modelling
10.21105/joss.01904,2020-05-19,7,"FAT Forensics: A Python Toolbox for Implementing and
Deploying Fairness, Accountability and Transparency
Algorithms in Predictive Systems"
10.21105/joss.01095,2019-01-07,7,"pyam: a Python Package for the Analysis and Visualization of Models of the Interaction of Climate, Human, and Environmental Systems"
10.21105/joss.00755,2018-08-15,7,PyBox: An automated box-model generator for atmospheric chemistry and aerosol simulations.
10.21105/joss.00103,2016-12-01,7,popeye: a population receptive field estimation tool
10.21105/joss.00018,2016-05-22,7,Xenomapper: Mapping reads in a mixed species context
10.21105/jose.00027,2018-10-02,7,"An Introduction to Applied Bioinformatics: a free, open, and interactive text."
10.21105/joss.01108,2019-01-07,7,AnyPyTools: A Python package for reproducible research with the AnyBody Modeling System
10.21105/joss.01746,2020-01-16,7,Larq: An Open-Source Library for Training Binarized Neural Networks
10.21105/joss.00133,2017-01-03,7,PETRARCH2: Another Event Coding Program
10.21105/joss.02176,2020-11-29,7,PorousFlow: a multiphysics simulation code for coupled problems in porous media
10.21105/joss.01825,2020-01-16,7,MorphoMetriX: a photogrammetric measurement GUI for morphometric analysis of megafauna
10.21105/joss.00707,2018-06-06,7,OctApps: a library of Octave functions for continuous gravitational-wave data analysis
10.21105/joss.00661,2018-04-11,7,EZyRB: Easy Reduced Basis method
10.21105/joss.01425,2019-10-01,7,Netwulf: Interactive visualization of networks in Python
10.21105/joss.01731,2019-12-20,7,"EoN (Epidemics on Networks): a fast, flexible Python package for simulation, analytic approximation, and analysis of epidemics on networks"
10.21105/joss.00427,2017-11-15,7,MDEntropy: Information-Theoretic Analyses for Molecular Dynamics
10.21105/joss.01867,2020-07-25,7,HRV: a Pythonic package for Heart Rate Variability Analysis
10.21105/joss.01469,2019-09-18,7,stardate:  Combining dating methods for better stellar ages
10.21105/joss.03001,2021-04-02,7,"UltraNest - a robust, general purpose Bayesian inference engine"
10.21105/joss.01356,2019-06-03,7,"scikit-finite-diff, a new tool for PDE solving"
10.21105/joss.01832,2020-02-14,7,SunPy: A Python package for Solar Physics
10.21105/joss.02260,2020-08-31,7,Ginkgo: A high performance numerical linear algebra library
10.21105/joss.00231,2017-05-10,6,flusight: interactive visualizations for infectious disease forecasts
10.21105/joss.01778,2019-11-04,6,GaitPy: An Open-Source Python Package for Gait Analysis Using an Accelerometer on the Lower Back
10.21105/joss.00505,2018-02-01,6,Finch: a tool adding dynamic abundance filtering to genomic MinHashing
10.21105/joss.00257,2017-08-27,6,Varistran: Anscombe's variance stabilizing transformation for RNA-seq gene expression data
10.21105/joss.02018,2020-09-22,6,Oceananigans.jl: Fast and friendly geophysical fluid dynamics on GPUs
10.21105/joss.00320,2017-08-15,6,genomepy: download genomes the easy way
10.21105/joss.01868,2019-12-03,6,libRL: A Python library for the characterization of microwave absorption
10.21105/joss.00106,2016-11-08,6,"plater: Read, Tidy, and Display Data from Microtiter Plates"
10.21105/joss.00493,2018-01-31,6,BATMAN: Statistical analysis for expensive computer codes made easy
10.21105/joss.02668,2020-10-05,6,BrainGlobe Atlas API: a common interface for neuroanatomical atlases
10.21105/joss.00494,2018-03-28,6,PyTransport: A Python package for the calculation of inflationary correlation functions
10.21105/joss.01073,2018-12-16,6,Rule-based integration: An extensive system of symbolic integration rules
10.21105/joss.02977,2021-03-31,6,EMD: Empirical Mode Decomposition and Hilbert-Huang Spectral Analyses in Python
10.21105/joss.00487,2018-06-19,6,kima: Exoplanet detection in radial velocities
10.21105/joss.02823,2021-02-04,6,pyhf: pure-Python implementation of HistFactory statistical models
10.21105/joss.00043,2016-08-18,6,"PyGBe: Python, GPUs and Boundary elements for biomolecular electrostatics"
10.21105/joss.00514,2018-01-17,6,phyphy: Python package for facilitating the execution and parsing of HyPhy standard analyses
10.21105/joss.00989,2019-04-10,6,diff_classifier: Parallelization of multi-particle tracking video analyses
10.21105/joss.02705,2020-11-04,6,DeepReg: a deep learning toolkit for medical image registration
10.21105/joss.02579,2020-10-15,6,"Minerva: a light-weight, narrative image browser for multiplexed tissue images"
10.21105/joss.00355,2017-08-22,6,visdat: Visualising Whole Data Frames
10.21105/joss.00653,2018-04-04,6,Spiral: splitters for identifiers in source code files
10.21105/joss.02314,2020-06-09,6,pyrolite: Python for geochemistry
10.21105/joss.01399,2019-05-09,6,Fruitbat: A Python Package for Estimating Redshifts of Fast Radio Bursts
10.21105/joss.02102,2020-03-12,6,CarrierCapture.jl: Anharmonic Carrier Capture
10.21105/astro.1907.07199,2019-12-11,6,An independent assessment of significance of annual modulation in COSINE-100 data
10.21105/joss.02363,2020-08-10,6,Tools21cm: A python package to analyse the large-scale 21-cm signal from the Epoch of Reionization and Cosmic Dawn
10.21105/joss.00011,2016-05-11,6,carl: a likelihood-free inference toolbox
10.21105/joss.00064,2017-01-12,6,ecopath_matlab: A Matlab-based implementation of the Ecopath food web algorithm
10.21105/joss.02347,2020-08-06,6,\texttt{stella}: Convolutional Neural Networks for Flare Identification in \textit{TESS}
10.21105/joss.00699,2018-05-17,6,qicharts2: Quality Improvement Charts for R
10.21105/joss.00739,2018-06-20,6,rsimsum: Summarise results from Monte Carlo simulation studies
10.21105/joss.01221,2019-05-19,6,areal: An R package for areal weighted interpolation
10.21105/joss.00107,2016-12-01,6,ReproZip: The Reproducibility Packer
10.21105/joss.00670,2018-06-21,6,MatchPy: Pattern Matching in Python
10.21105/joss.01441,2020-01-25,6,"MoFEM: An open source, parallel finite element library"
10.21105/joss.00451,2017-11-15,6,Retriever: Data Retrieval Tool
10.21105/joss.00314,2018-03-28,6,USAboundaries: Historical and Contemporary Boundaries of the United States of America
10.21105/joss.00079,2016-09-29,6,Python Active-subspaces Utility Library
